"id","field_id/id","code","name"
"l10n_no_hr_payroll.res_field_selection_Arbeidsforholdtype_frilanserOppdragstakerHonorarPersonerMm","l10n_no_hr_payroll.res_field_l10n_no_Arbeidsforholdtype","frilanserOppdragstakerHonorarPersonerMm","frilanserOppdragstakerHonorarPersonerMm"
"l10n_no_hr_payroll.res_field_selection_Arbeidsforholdtype_maritimtArbeidsforhold","l10n_no_hr_payroll.res_field_l10n_no_Arbeidsforholdtype","maritimtArbeidsforhold","maritimtArbeidsforhold"
"l10n_no_hr_payroll.res_field_selection_Arbeidsforholdtype_ordinaertArbeidsforhold","l10n_no_hr_payroll.res_field_l10n_no_Arbeidsforholdtype","ordinaertArbeidsforhold","ordinaertArbeidsforhold"
"l10n_no_hr_payroll.res_field_selection_Arbeidsforholdtype_pensjonOgAndreTyperYtelserUtenAnsettelsesforhold","l10n_no_hr_payroll.res_field_l10n_no_Arbeidsforholdtype","pensjonOgAndreTyperYtelserUtenAnsettelsesforhold","pensjonOgAndreTyperYtelserUtenAnsettelsesforhold"
"l10n_no_hr_payroll.res_field_selection_Arbeidsgiveravgiftsone_1","l10n_no_hr_payroll.res_field_l10n_no_Arbeidsgiveravgiftsone","1","1"
"l10n_no_hr_payroll.res_field_selection_Arbeidsgiveravgiftsone_1a","l10n_no_hr_payroll.res_field_l10n_no_Arbeidsgiveravgiftsone","1a","1a"
"l10n_no_hr_payroll.res_field_selection_Arbeidsgiveravgiftsone_2","l10n_no_hr_payroll.res_field_l10n_no_Arbeidsgiveravgiftsone","2","2"
"l10n_no_hr_payroll.res_field_selection_Arbeidsgiveravgiftsone_3","l10n_no_hr_payroll.res_field_l10n_no_Arbeidsgiveravgiftsone","3","3"
"l10n_no_hr_payroll.res_field_selection_Arbeidsgiveravgiftsone_4","l10n_no_hr_payroll.res_field_l10n_no_Arbeidsgiveravgiftsone","4","4"
"l10n_no_hr_payroll.res_field_selection_Arbeidsgiveravgiftsone_4a","l10n_no_hr_payroll.res_field_l10n_no_Arbeidsgiveravgiftsone","4a","4a"
"l10n_no_hr_payroll.res_field_selection_Arbeidsgiveravgiftsone_5","l10n_no_hr_payroll.res_field_l10n_no_Arbeidsgiveravgiftsone","5","5"
"l10n_no_hr_payroll.res_field_selection_Arbeidstidsordning_offshore336","l10n_no_hr_payroll.res_field_l10n_no_Arbeidstidsordning","offshore336","offshore336"
"l10n_no_hr_payroll.res_field_selection_Arbeidstidsordning_doegnkontinuerligSkiftOgTurnus355","l10n_no_hr_payroll.res_field_l10n_no_Arbeidstidsordning","doegnkontinuerligSkiftOgTurnus355","doegnkontinuerligSkiftOgTurnus355"
"l10n_no_hr_payroll.res_field_selection_Arbeidstidsordning_helkontinuerligSkiftOgAndreOrdninger336","l10n_no_hr_payroll.res_field_l10n_no_Arbeidstidsordning","helkontinuerligSkiftOgAndreOrdninger336","helkontinuerligSkiftOgAndreOrdninger336"
"l10n_no_hr_payroll.res_field_selection_Arbeidstidsordning_ikkeSkift","l10n_no_hr_payroll.res_field_l10n_no_Arbeidstidsordning","ikkeSkift","ikkeSkift"
"l10n_no_hr_payroll.res_field_selection_Arbeidstidsordning_skift365","l10n_no_hr_payroll.res_field_l10n_no_Arbeidstidsordning","skift365","skift365"
"l10n_no_hr_payroll.res_field_selection_BeregningskodeForArbeidsgiveravgift_generelleNaeringer","l10n_no_hr_payroll.res_field_l10n_no_BeregningskodeForArbeidsgiveravgift","generelleNaeringer","generelleNaeringer"
"l10n_no_hr_payroll.res_field_selection_BeregningskodeForArbeidsgiveravgift_helseforetakOgDelerAvStatsforvaltningen","l10n_no_hr_payroll.res_field_l10n_no_BeregningskodeForArbeidsgiveravgift","helseforetakOgDelerAvStatsforvaltningen","helseforetakOgDelerAvStatsforvaltningen"
"l10n_no_hr_payroll.res_field_selection_BeregningskodeForArbeidsgiveravgift_jordOgSkogbrukFiskeri","l10n_no_hr_payroll.res_field_l10n_no_BeregningskodeForArbeidsgiveravgift","jordOgSkogbrukFiskeri","jordOgSkogbrukFiskeri"
"l10n_no_hr_payroll.res_field_selection_BeregningskodeForArbeidsgiveravgift_kunForskuddstrekk","l10n_no_hr_payroll.res_field_l10n_no_BeregningskodeForArbeidsgiveravgift","kunForskuddstrekk","kunForskuddstrekk"
"l10n_no_hr_payroll.res_field_selection_BeregningskodeForArbeidsgiveravgift_svalbard","l10n_no_hr_payroll.res_field_l10n_no_BeregningskodeForArbeidsgiveravgift","svalbard","svalbard"
"l10n_no_hr_payroll.res_field_selection_BeregningskodeForArbeidsgiveravgift_staalprodukterOgSkipsverft","l10n_no_hr_payroll.res_field_l10n_no_BeregningskodeForArbeidsgiveravgift","staalprodukterOgSkipsverft","staalprodukterOgSkipsverft"
"l10n_no_hr_payroll.res_field_selection_BeregningskodeForArbeidsgiveravgift_veitransport","l10n_no_hr_payroll.res_field_l10n_no_BeregningskodeForArbeidsgiveravgift","veitransport","veitransport"
"l10n_no_hr_payroll.res_field_selection_BeregningskodeForArbeidsgiveravgift_sektorunnattAktivitet","l10n_no_hr_payroll.res_field_l10n_no_BeregningskodeForArbeidsgiveravgift","sektorunnattAktivitet","sektorunnattAktivitet"
"l10n_no_hr_payroll.res_field_selection_BeregningskodeForArbeidsgiveravgift_godstransportPaaVei","l10n_no_hr_payroll.res_field_l10n_no_BeregningskodeForArbeidsgiveravgift","godstransportPaaVei","godstransportPaaVei"
"l10n_no_hr_payroll.res_field_selection_Fordel_kontantytelse","l10n_no_hr_payroll.res_field_l10n_no_Fordel","kontantytelse","kontantytelse"
"l10n_no_hr_payroll.res_field_selection_Fordel_naturalytelse","l10n_no_hr_payroll.res_field_l10n_no_Fordel","naturalytelse","naturalytelse"
"l10n_no_hr_payroll.res_field_selection_Fordel_utgiftsgodtgjoerelse","l10n_no_hr_payroll.res_field_l10n_no_Fordel","utgiftsgodtgjoerelse","utgiftsgodtgjoerelse"
"l10n_no_hr_payroll.res_field_selection_Forskuddstrekkbeskrivelse_betaltTrygdeavgiftTilJanMayen","l10n_no_hr_payroll.res_field_l10n_no_Forskuddstrekkbeskrivelse","betaltTrygdeavgiftTilJanMayen","betaltTrygdeavgiftTilJanMayen"
"l10n_no_hr_payroll.res_field_selection_Forskuddstrekkbeskrivelse_janMayenOgBilandene","l10n_no_hr_payroll.res_field_l10n_no_Forskuddstrekkbeskrivelse","janMayenOgBilandene","janMayenOgBilandene"
"l10n_no_hr_payroll.res_field_selection_Forskuddstrekkbeskrivelse_kildeskattPaaPensjon","l10n_no_hr_payroll.res_field_l10n_no_Forskuddstrekkbeskrivelse","kildeskattPaaPensjon","kildeskattPaaPensjon"
"l10n_no_hr_payroll.res_field_selection_Forskuddstrekkbeskrivelse_svalbard","l10n_no_hr_payroll.res_field_l10n_no_Forskuddstrekkbeskrivelse","svalbard","svalbard"
"l10n_no_hr_payroll.res_field_selection_Forskuddstrekkbeskrivelse_barnepensjon","l10n_no_hr_payroll.res_field_l10n_no_Forskuddstrekkbeskrivelse","barnepensjon","barnepensjon"
"l10n_no_hr_payroll.res_field_selection_Forskuddstrekkbeskrivelse_refusjonNegativeEtteroppgjoer","l10n_no_hr_payroll.res_field_l10n_no_Forskuddstrekkbeskrivelse","refusjonNegativeEtteroppgjoer","refusjonNegativeEtteroppgjoer"
"l10n_no_hr_payroll.res_field_selection_Forskuddstrekkbeskrivelse_refusjonNegativeEtteroppgjoerKildeskatt","l10n_no_hr_payroll.res_field_l10n_no_Forskuddstrekkbeskrivelse","refusjonNegativeEtteroppgjoerKildeskatt","refusjonNegativeEtteroppgjoerKildeskatt"
"l10n_no_hr_payroll.res_field_selection_Forskuddstrekkbeskrivelse_refusjonNegativeEtteroppgjoerSvalbard","l10n_no_hr_payroll.res_field_l10n_no_Forskuddstrekkbeskrivelse","refusjonNegativeEtteroppgjoerSvalbard","refusjonNegativeEtteroppgjoerSvalbard"
"l10n_no_hr_payroll.res_field_selection_Grunnlagsprosent_14_1","l10n_no_hr_payroll.res_field_l10n_no_Grunnlagsprosent","14.1","14.1"
"l10n_no_hr_payroll.res_field_selection_Grunnlagsprosent_10_6","l10n_no_hr_payroll.res_field_l10n_no_Grunnlagsprosent","10.6","10.6"
"l10n_no_hr_payroll.res_field_selection_Grunnlagsprosent_7_9","l10n_no_hr_payroll.res_field_l10n_no_Grunnlagsprosent","7.9","7.9"
"l10n_no_hr_payroll.res_field_selection_Grunnlagsprosent_6_4","l10n_no_hr_payroll.res_field_l10n_no_Grunnlagsprosent","6.4","6.4"
"l10n_no_hr_payroll.res_field_selection_Grunnlagsprosent_5_1","l10n_no_hr_payroll.res_field_l10n_no_Grunnlagsprosent","5.1","5.1"
"l10n_no_hr_payroll.res_field_selection_Grunnlagsprosent_0","l10n_no_hr_payroll.res_field_l10n_no_Grunnlagsprosent","0","0"
"l10n_no_hr_payroll.res_field_selection_Loennsbeskrivelse_administrativForpleining","l10n_no_hr_payroll.res_field_l10n_no_Loennsbeskrivelse","administrativForpleining","administrativForpleining"
"l10n_no_hr_payroll.res_field_selection_Loennsbeskrivelse_aksjerGrunnfondsbevisTilUnderkurs","l10n_no_hr_payroll.res_field_l10n_no_Loennsbeskrivelse","aksjerGrunnfondsbevisTilUnderkurs","aksjerGrunnfondsbevisTilUnderkurs"
"l10n_no_hr_payroll.res_field_selection_Loennsbeskrivelse_annet","l10n_no_hr_payroll.res_field_l10n_no_Loennsbeskrivelse","annet","annet"
"l10n_no_hr_payroll.res_field_selection_Loennsbeskrivelse_arbeidsoppholdKost","l10n_no_hr_payroll.res_field_l10n_no_Loennsbeskrivelse","arbeidsoppholdKost","arbeidsoppholdKost"
"l10n_no_hr_payroll.res_field_selection_Loennsbeskrivelse_arbeidsoppholdLosji","l10n_no_hr_payroll.res_field_l10n_no_Loennsbeskrivelse","arbeidsoppholdLosji","arbeidsoppholdLosji"
"l10n_no_hr_payroll.res_field_selection_Loennsbeskrivelse_bedriftsbarnehageplass","l10n_no_hr_payroll.res_field_l10n_no_Loennsbeskrivelse","bedriftsbarnehageplass","bedriftsbarnehageplass"
"l10n_no_hr_payroll.res_field_selection_Loennsbeskrivelse_beregnetSkatt","l10n_no_hr_payroll.res_field_l10n_no_Loennsbeskrivelse","beregnetSkatt","beregnetSkatt"
"l10n_no_hr_payroll.res_field_selection_Loennsbeskrivelse_besoeksreiserHjemmetAnnet","l10n_no_hr_payroll.res_field_l10n_no_Loennsbeskrivelse","besoeksreiserHjemmetAnnet","besoeksreiserHjemmetAnnet"
"l10n_no_hr_payroll.res_field_selection_Loennsbeskrivelse_besoeksreiserHjemmetKilometergodtgjoerelseBil","l10n_no_hr_payroll.res_field_l10n_no_Loennsbeskrivelse","besoeksreiserHjemmetKilometergodtgjoerelseBil","besoeksreiserHjemmetKilometergodtgjoerelseBil"
